isin,name,nse_symbol,bse_code,sector,industry,series,exchange
INE144J01027,20 Microns Limited,20MICRONS,533022,,,EQ,BOTH
INE253B01015,21st Century Management Services Limited,21STCENMGM,526921,,,EQ,BOTH
INE466L01038,360 ONE WAM LIMITED,360ONE,542772,,,EQ,BOTH
INE994E01018,3B Blackbio Dx Limited,3BBLACKBIO,532067,,,EQ,BOTH
INE0TE101010,3B FILMS LIMITED,,544412,,,,BSE
INE0R7D01018,3C IT Solutions and Telecoms (India) Limited,,544190,,,,BSE
INE748C01038,3i Infotech Limited,3IINFOLTD,532628,,,EQ,BOTH
INE470A01017,3M India Limited,3MINDIA,523395,,,EQ,BOTH
INE105C01023,3P Land Holdings Limited,3PLAND,516092,,,EQ,BOTH
INE618L01018,5Paisa Capital Limited,5PAISA,540776,,,EQ,BOTH
INE111B01023,63 moons technologies limited,63MOONS,526881,,,EQ,BOTH
INE413X01035,7NR Retail Limited,,540615,,,,BSE
INE454F01010,7SEAS ENTERTAINMENT LIMITED,,540874,,,,BSE
INE08PH01015,A B Cotspin India Limited,ABCOTS,544522,,,EQ,BOTH
INE00YB01025,A B Infrabuild Limited,ABINFRA,544281,,,EQ,BOTH
INE911Z01025,A-1 LIMITED,,542012,,,,BSE
INE663P01015,A.F. Enterprises Limited,,538351,,,,BSE
INE619I01012,A2Z Infra Engineering Limited,A2ZINFRA,533292,,,EQ,BOTH
INE0C5901022,AA Plus Tradelink Limited,,543319,,,,BSE
INE0D0U01013,AAA Technologies Limited,AAATECH,543671,,,EQ,BOTH
INE883F01010,Aadhar Housing Finance Limited,AADHARHFC,544176,,,EQ,BOTH
INE563D01013,Aadi Industries Ltd,,530027,,,,BSE
INE087Z01024,Aakash Exploration Services Limited,AAKASH,,,,EQ,NSE
INE322R01022,Aanchal Ispat Limited,,538812,,,,BSE
INE512R01010,Aar Shyam India Investment Company Limited,,542377,,,,BSE
INE056J01015,AARCON FACILITIES LIMITED,,532024,,,,BSE
INE198H01019,Aarey Drugs & Pharmaceuticals Ltd,,524412,,,,BSE
